Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
10/06/2024,Transferência recebida,10/06 15:01 VICTOR CESAR SANTOS MELO,603545400015303,R$ 3.246,entrada
10/06/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,61001,-R$ 344,saída 
12/06/2024,Pix - Recebido,12/06 17:46 03539927557 DIANA SANTOS D,182251961307551,R$ 2.200,entrada
12/06/2024,Pix - Recebido,12/06 17:49 03539927557 DIANA SANTOS D,182253983966241,R$ 1.100,entrada
12/06/2024,Pagto cartão crédito,,450354500150000,-R$ 6.170,saída 
24/06/2024,Pix - Enviado,22/06 12:07 Carlos Roberto Melo Santos,62401,-R$ 10,saída 
25/06/2024,Pix - Enviado,25/06 07:02 Happy Market Comercio Ltda,62501,-R$ 4,saída 
01/07/2024,moradia,salário,,R$ 5.884,entrada
05/07/2024,Pix - Enviado,05/07 20:17 Alipay/aliexpress - Pix,70501,-R$ 7,saída 
08/07/2024,Transferência recebida,07/07 07:55 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.654,entrada
08/07/2024,Pix - Enviado,07/07 08:28 Mercantil Rodrigues,70801,-R$ 42,saída 
09/07/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 97,saída 
10/07/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,71001,-R$ 344,saída 
10/07/2024,Pix - Enviado,10/07 07:01 Energisa Sergipe - Distrib,71002,-R$ 266,saída 
12/07/2024,Pix - Recebido,12/07 20:24 00003539927557 DIANA SANTO,122024032179222,R$ 1.000,entrada
12/07/2024,Pagto cartão crédito,,450354500170000,-R$ 4.758,saída 
12/07/2024,Pix - Enviado,12/07 15:00 Diocleciano Silva Santos,71201,-R$ 157,saída 
15/07/2024,Pix - Recebido,13/07 07:59 00003539927557 DIANA SANTO,130759302353542,R$ 1.000,entrada
15/07/2024,Pix - Recebido,15/07 15:02 31129897591 VALDETE DE OLI,210665701292311,R$ 2.337,entrada
15/07/2024,Pagto cartão crédito,,450354500280000,-R$ 1.050,saída 
15/07/2024,Pix - Enviado,13/07 15:26 Rafael Oliveira,71501,-R$ 25,saída 
15/07/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,71502,-R$ 2.067,saída 
31/07/2024,Restituição de IRPF,,102120900070299,R$ 2.797,entrada
01/08/2024,Pix - Enviado,01/08 13:18 Hugo Leonardo De Jesus,80101,-R$ 12,saída 
01/08/2024,moradia,salário,,R$ 5.884,entrada
02/08/2024,Pix - Enviado,02/08 23:04 Subway Contorno,80201,-R$ 23,saída 
05/08/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída 
09/08/2024,Pix - Enviado,09/08 15:49 Denilde Almeida Dos Santos,80901,-R$ 60,saída 
09/08/2024,Pix - Enviado,09/08 23:02 43.221.942 Valdiran Batist,80902,-R$ 20,saída 
12/08/2024,Transferência recebida,10/08 10:27 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.662,entrada
12/08/2024,Pagto cartão crédito,,450354500090000,-R$ 5.747,saída 
12/08/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,81201,-R$ 344,saída 
12/08/2024,Pix - Enviado,10/08 10:40 Geap,81202,-R$ 236,saída 
12/08/2024,Pix - Enviado,10/08 10:43 Geap,81203,-R$ 296,saída 
12/08/2024,Pix - Enviado,10/08 10:47 Energisa Sergipe - Distrib,81204,-R$ 273,saída 
13/08/2024,Pix - Recebido,13/08 16:39 31129897591 VALDETE DE OLI,235779539809331,R$ 2.284,entrada
14/08/2024,Pix - Recebido,14/08 17:23 00719764505 VICTOR CESAR S,236670201615721,R$ 100,entrada
14/08/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,81401,-R$ 2.284,saída 
15/08/2024,Pix - Enviado,15/08 22:19 Petrox Comercial Ltda,81501,-R$ 10,saída 
27/08/2024,Pix - Enviado,27/08 09:24 56148741 Robson Santos Sil,82701,-R$ 70,saída 
27/08/2024,Pix - Enviado,27/08 22:27 Petrox Comercial Ltda,82702,-R$ 35,saída 
29/08/2024,Pix - Enviado,29/08 12:10 Debora Faustina Dos Santos,82901,-R$ 5,saída 
01/09/2024,moradia,salário,,R$ 5.884,entrada
02/09/2024,Pix - Enviado,31/08 18:34 Projeto Acalanto Sergipe,90201,-R$ 20,saída
02/09/2024,Pix - Enviado,02/09 20:45 Elias Cabeleireiro,90202,-R$ 30,saída
04/09/2024,Compra com Cartão,04/09 15:00 ALPHA PARK,154016,-R$ 4,saída
05/09/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída
09/09/2024,Transferência recebida,09/09 08:34 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.090,entrada
09/09/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,90901,-R$ 344,saída
09/09/2024,Pix - Enviado,09/09 16:07 Joana Carolina Da Silva Mo,90902,-R$ 15,saída
11/09/2024,Pix - Enviado,11/09 22:36 Raia Drogasil Sa,91101,-R$ 16,saída
12/09/2024,Pagto cartão crédito,,450354500050000,-R$ 3.878,saída
16/09/2024,Pix - Recebido,14/09 10:33 31129897591 VALDETE DE OLI,263207982107531,R$ 1.777,entrada
16/09/2024,Pix - Recebido,16/09 10:35 00719764505 VICTOR CESAR S,264937180703591,R$ 2.000,entrada
16/09/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,91601,-R$ 2.359,saída 
16/09/2024,Pix - Enviado,16/09 12:39 Geap,91602,-R$ 241,saída 
16/09/2024,Pix - Enviado,16/09 12:40 Geap,91603,-R$ 609,saída 
17/09/2024,Compra com Cartão,17/09 09:01 ALPHA PARK,132482,-R$ 2,saída 
18/09/2024,Pix - Enviado,18/09 10:47 Energisa Sergipe - Distrib,91801,-R$ 241,saída 
18/09/2024,Pix - Enviado,18/09 10:48 Departamento Estadual De T,91802,-R$ 197,saída 
18/09/2024,Pix - Enviado,18/09 11:11 Diocleciano Silva Santos,91803,-R$ 104,saída 
30/09/2024,Pix - Enviado,30/09 15:34 Hugo Leonardo De Jesus,93001,-R$ 12,saída 
01/10/2024,Pix - Enviado,01/10 17:39 Alisson Da Silva Araujo,100101,-R$ 45,saída
01/10/2024,Pix - Enviado,01/10 17:39 Alisson Da Silva Araujo,100101,-R$ 45,saída
01/10/2024,moradia,salário,,R$ 5.884,entrada
03/10/2024,Pix - Enviado,03/10 08:15 Lucas Souza Gomes,100301,-R$ 10,saída
03/10/2024,Pix - Enviado,03/10 08:15 Lucas Souza Gomes,100301,-R$ 10,saída
07/10/2024,Pix - Enviado,05/10 13:10 Edigenal Elias Dos Santos,100701,-R$ 30,saída
07/10/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída
07/10/2024,Pix - Enviado,05/10 13:10 Edigenal Elias Dos Santos,100701,-R$ 30,saída
07/10/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída
10/10/2024,Transferência recebida,10/10 14:18 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.380,entrada
10/10/2024,Pix - Recebido,10/10 16:36 00000719764505 VICTOR CESA,101636189826062,R$ 2.000,entrada
10/10/2024,Pix - Recebido,10/10 20:17 00000719764505 VICTOR CESA,102017300472202,R$ 175,entrada
10/10/2024,Pix - Recebido,10/10 20:33 00719764505 VICTOR CESAR S,286032197470931,R$ 10,entrada
10/10/2024,Pagto cartão crédito,,450354500320000,-R$ 6.640,saída
10/10/2024,Transferência recebida,10/10 14:18 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.380,entrada
10/10/2024,Pix - Recebido,10/10 16:36 00000719764505 VICTOR CESA,101636189826062,R$ 2.000,entrada
10/10/2024,Pix - Recebido,10/10 20:17 00000719764505 VICTOR CESA,102017300472202,R$ 175,entrada
10/10/2024,Pix - Recebido,10/10 20:33 00719764505 VICTOR CESAR S,286032197470931,R$ 10,entrada
10/10/2024,Pagto cartão crédito,,450354500320000,-R$ 6.640,saída
16/10/2024,Pix - Recebido,16/10 15:52 00031129897591 VALDETE DE,161552264559082,R$ 270,entrada
16/10/2024,Pix - Recebido,16/10 15:52 00031129897591 VALDETE DE,161552264559082,R$ 270,entrada
21/10/2024,Pix - Enviado,19/10 11:41 Sorrimagem,102101,-R$ 30,saída
21/10/2024,Pix - Enviado,19/10 11:41 Sorrimagem,102101,-R$ 30,saída
22/10/2024,Compra com Cartão,22/10 15:09 Petrox,154566,-R$ 100,saída
01/11/2024,moradia,salário,,R$ 5.884,entrada
04/11/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída
11/11/2024,Transferência recebida,11/11 18:37 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.380,entrada
11/11/2024,Compra com Cartão,09/11 18:45 PANDAD,167549,-R$ 5,saída
11/11/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,111101,-R$ 344,saída
12/11/2024,Pagto cartão crédito,,450354500160000,-R$ 3.542,saída
12/11/2024,Pix - Enviado,12/11 19:11 Geap,111201,-R$ 241,saída
12/11/2024,Pix - Enviado,12/11 19:13 Geap,111202,-R$ 302,saída
